SEZ2011,COMUNE,gap_score,popolazione_eta_guida_stimata
151460003114,Milano,0.4996262701763601,257.0
150770000231,Cinisello Balsamo,0.4995050605038282,91.0
150770000184,Cinisello Balsamo,0.49947042916881906,250.0
151570000058,Novate Milanese,0.49903176559203716,341.0
150090000007,Arese,0.4988239775819825,209.0
151460004250,Milano,0.49878068841322104,175.0
151460003248,Milano,0.49823524488682763,331.0
150740000028,Cesano Boscone,0.49795963717904684,508.0
151460003252,Milano,0.4975974511337433,203.0
151570000085,Novate Milanese,0.4974387241816183,256.0
151220000012,Liscate,0.49727711128490915,81.0
151460004980,Milano,0.4971501297232091,134.0
151660000184,Paderno Dugnano,0.49678361476102934,225.0
150770000383,Cinisello Balsamo,0.49676918503810885,234.0
151300000168,Magenta,0.49652387974846107,160.0
151460004266,Milano,0.4961746804537859,373.0
152370000031,Vignate,0.49587742816162445,85.0
151580000063,Noviglio,0.49559171964779936,155.0
151660000064,Paderno Dugnano,0.4955253429223652,163.0
151660000052,Paderno Dugnano,0.4955080272548606,144.0
150990000016,Dairago,0.4954820537536039,119.0
151460001275,Milano,0.4954647380860992,194.0
151840000018,Robecco sul Naviglio,0.4952598360206288,239.0
151460004268,Milano,0.49474036599549215,251.0
150090000101,Arese,0.4941429754665851,259.0
151300000010,Magenta,0.4940419674061419,144.0
150590000052,Cassano d'Adda,0.49388035450943263,258.0
150090000097,Arese,0.49383995128525543,237.0
151300000056,Magenta,0.49357444438351894,272.0
151660000375,Paderno Dugnano,0.49319061375383466,74.0
151660000025,Paderno Dugnano,0.4927115469528754,266.0
150050000018,Albairate,0.49262208267076857,136.0
151570000120,Novate Milanese,0.49198717486226834,208.0
150770000023,Cinisello Balsamo,0.49175052740637276,157.0
151300000036,Magenta,0.49175052740637276,204.0
